state,total_enroll,expan_enroll,expansion,id,year,total,male,male_u6,male_u6_with,male_617,male_617_with,male_1824,male_1824_with,male_2534,male_2534_with,male_3544,male_3544_with,male_4554,male_4554_with,male_5564,male_5564_with,female,female_u6,female_u6_with,female_617,female_617_with,female_1824,female_1824_with,female_2534,female_2534_with,female_3544,female_3544_with,female_4554,female_4554_with,female_5564,female_5564_with,black_total,black_under6,black_under6_with,black_617,black_617_with,black_1824,black_1824_with,black_2534,black_2534_with,black_3544,black_3544_with,black_4554,black_4554_with,black_5564,black_5564_with,white_total,white_under6,white_under6_with,white_617,white_617_with,white_1824,white_1824_with,white_2534,white_2534_with,white_3544,white_3544_with,white_4554,white_4554_with,white_5564,white_5564_with,male_u6_medicaid,male_617_medicaid,male_1824_medicaid,male_2534_medicaid,male_3544_medicaid,male_4554_medicaid,male_5564_medicaid,female_u6_medicaid,female_617_medicaid,female_1824_medicaid,female_2534_medicaid,female_3544_medicaid,female_4554_medicaid,female_5564_medicaid,public,public_perc,public_only,public_only_perc,medicaid,medicaid_perc,public_under138,public_under138_perc,public_above138,public_above138_perc
Alabama,,,Not Adopted,1,2014,4767383,2289780,180774,174036,384145,367556,236975,178184,283658,201139,286297,225680,306272,256316,294579,266144,2477603,169526,164335,372402,358498,237408,191777,314043,244065,310113,253847,335435,288042,330587,297273,1259660,107412,104644,223496,217095,151711,108647,172340,122822,161475,130144,160091,131193,151237,133725,3272871,212931,204830,473061,455320,297195,243479,394916,304318,401178,327488,459372,394846,455947,414912,93818,160584,24174,21992,20936,28838,28188,88759,155182,39259,49575,34098,40752,41265,,,,,,,,,,
Alaska,,,Adopted,2,2014,711541,363589,32423,28924,62233,53993,40465,30350,54358,38490,44478,34125,48114,37130,47618,41695,347952,31460,28690,60129,53386,35525,27063,51334,38088,44358,35873,46606,38292,43422,35726,22055,1170,1170,3861,3789,3132,2553,3257,1703,3397,2301,3105,2490,1836,1817,466884,34240,31887,68073,63088,43467,36712,70790,55110,59753,49851,67830,57927,69739,62364,12295,19220,4287,4437,3312,3369,4388,11855,17624,5971,7029,4187,4246,3691,,,,,,,,,,
Arizona,,,Adopted,4,2014,6623074,3251297,268507,245373,557851,498208,328324,243582,433332,315515,402628,317769,402312,329174,371403,326389,3371777,257277,234754,536941,480387,325057,259156,430231,356062,415511,342991,419256,356005,416438,369463,267799,25241,24066,48847,45834,31359,26510,42092,34459,37405,32072,32685,28563,27504,24028,5194993,370250,339163,790263,714860,477423,375145,635684,503586,624298,512965,663462,562743,673832,602381,114611,198271,48257,61581,53802,52881,50896,113390,188896,76583,98303,73145,67139,61235,,,,,,,,,,
Arkansas,,,Adopted,5,2014,2914376,1423412,117821,112405,242570,230100,144070,111154,181138,131474,176985,139710,183655,152823,175477,158606,1490964,110503,106286,232917,220941,142429,115260,187336,147731,189151,158151,191610,166306,190384,173444,453356,42752,40163,89806,86806,56182,42452,59408,43828,57631,49069,54927,46085,51654,48021,2286585,163693,157751,344948,327954,209777,170139,285252,218727,283339,230098,301877,258336,300025,272011,68696,117159,21576,21725,19543,21660,22380,64642,112665,30132,38815,33375,30816,30941,,,,,,,,,,
California,,,Adopted,6,2014,38297457,18865494,1534723,1476075,3123268,2926865,1978296,1552542,2827196,2106622,2522938,2007420,2554490,2142505,2155141,1908771,19431963,1467115,1408664,3010027,2826439,1921375,1595871,2774927,2279562,2579992,2159909,2622661,2246287,2327493,2071588,2174789,162984,159212,346668,332588,246405,210837,315333,257933,272954,234756,309980,276114,269554,248510,23518476,1694576,1627356,3528699,3312118,2236072,1822221,3284852,2591081,2992785,2459158,3246997,2786830,3004015,2705384,692928,1259104,368496,375803,321565,347583,334021,672259,1222496,453236,569113,451637,421499,418481,,,,,,,,,,
Colorado,,,Adopted,8,2014,5266022,2622411,210906,202588,429394,401685,259382,212441,390134,300662,359282,298185,346712,302379,323268,298747,2643611,194507,185624,410625,385451,247086,211619,383238,329420,351031,306360,354361,316606,341816,313966,203860,20054,19612,34318,33739,25358,20358,32418,27113,26910,23400,27499,24206,21004,18598,4451583,319854,307298,672552,632296,409484,349486,642615,529115,593468,512456,606939,540329,595650,552444,83468,139850,32185,46844,34071,32530,31887,77711,128871,46327,70925,47952,40917,39267,,,,,,,,,,
Connecticut,,,Adopted,9,2014,3541282,1719425,115676,111520,279327,268922,173367,151274,212101,171551,210090,182494,261921,239415,233999,219712,1821857,112679,109262,266339,255447,168282,154797,216712,193843,224785,208373,282561,263566,249918,236482,360815,29398,27975,66004,62599,42922,38953,50276,42162,47879,41964,51806,46361,37932,34254,2727517,150133,145002,385927,373519,246375,222750,303975,266439,314587,289232,437997,411802,413580,393798,49756,86850,25729,30950,26236,33855,23177,44469,83341,36164,55859,43000,40049,30832,,,,,,,,,,
Delaware,,,Adopted,10,2014,920930,443623,35151,32966,68880,66052,45311,39023,56241,45372,53003,45335,59890,53966,57714,54639,477307,33712,32831,65671,59913,44142,39795,61585,54581,57015,53014,67073,61527,65816,61060,198247,16731,16287,34338,32347,23211,20247,26326,22055,25283,23531,28905,26662,22899,21256,638797,40384,38949,82554,78297,55656,49586,78543,66945,73218,65802,90998,83296,93951,88439,14009,22772,6958,6961,6048,7554,6511,12371,22444,9092,11699,12014,11525,8749,,,,,,,,,,
District of Columbia,,,Adopted,11,2014,647966,303791,24896,24425,33244,32221,35239,32202,67685,60730,44704,41355,37427,33659,31517,29571,344175,23199,22802,33495,33001,43151,41097,80035,76112,46711,45119,38138,35327,36545,35026,314296,24602,24163,43697,43145,35880,32586,46418,42489,36559,34454,41823,38471,41977,39917,261477,15380,15289,15435,14805,32268,31464,81870,78451,42925,41664,25882,25161,21933,21295,12111,16072,8473,10930,7323,9459,8914,11978,17909,10493,16968,10243,10998,11548,,,,,,,,,,
Florida,,,Not Adopted,12,2014,19583357,9490859,658309,613945,1407695,1257356,881522,623209,1204467,785745,1157330,827595,1307942,1008224,1196333,997074,10092498,636937,591056,1343209,1205806,867094,650630,1235529,930095,1220794,946613,1386343,1102152,1356354,1129479,3122584,275927,260178,578738,523709,373838,262315,448230,311085,402571,302572,402741,306422,332618,265044,14917817,858678,795716,1868765,1667428,1206303,894775,1752187,1241466,1756030,1319289,2109069,1663971,2079855,1753488,330226,560515,99902,104301,95912,116609,121599,308439,534753,142492,196809,161672,135128,139153,,,,,,,,,,
