,state,year,expansion,gender,age,percentage
1,Alabama,2014,Not Adopted,male,< 6,0.518979499
2,Alabama,2014,Not Adopted,male,6-17,0.41802965
3,Alabama,2014,Not Adopted,male,18-24,0.102010761
4,Alabama,2014,Not Adopted,male,25-34,0.077529983
5,Alabama,2014,Not Adopted,male,35-44,0.073126858
6,Alabama,2014,Not Adopted,male,45-54,0.094158134
7,Alabama,2014,Not Adopted,male,55-64,0.095689102
8,Alabama,2014,Not Adopted,female,< 6,0.523571606
9,Alabama,2014,Not Adopted,female,6-17,0.416705603
10,Alabama,2014,Not Adopted,female,18-24,0.16536511
11,Alabama,2014,Not Adopted,female,25-34,0.157860548
12,Alabama,2014,Not Adopted,female,35-44,0.109953469
13,Alabama,2014,Not Adopted,female,45-54,0.121490006
14,Alabama,2014,Not Adopted,female,55-64,0.12482342
15,Alaska,2014,Adopted,male,< 6,0.379206119
16,Alaska,2014,Adopted,male,6-17,0.308839362
17,Alaska,2014,Adopted,male,18-24,0.105943408
18,Alaska,2014,Adopted,male,25-34,0.08162552
19,Alaska,2014,Adopted,male,35-44,0.07446378
20,Alaska,2014,Adopted,male,45-54,0.0700212
21,Alaska,2014,Adopted,male,55-64,0.092150027
22,Alaska,2014,Adopted,female,< 6,0.376827718
23,Alaska,2014,Adopted,female,6-17,0.293103162
24,Alaska,2014,Adopted,female,18-24,0.168078818
25,Alaska,2014,Adopted,female,25-34,0.136926793
26,Alaska,2014,Adopted,female,35-44,0.094391091
27,Alaska,2014,Adopted,female,45-54,0.09110415
28,Alaska,2014,Adopted,female,55-64,0.085002994
29,Arizona,2014,Adopted,male,< 6,0.426845483
30,Arizona,2014,Adopted,male,6-17,0.355419279
31,Arizona,2014,Adopted,male,18-24,0.146979813
32,Arizona,2014,Adopted,male,25-34,0.142110437
33,Arizona,2014,Adopted,male,35-44,0.13362707
34,Arizona,2014,Adopted,male,45-54,0.131442761
35,Arizona,2014,Adopted,male,55-64,0.137037127
36,Arizona,2014,Adopted,female,< 6,0.440731196
37,Arizona,2014,Adopted,female,6-17,0.351800291
38,Arizona,2014,Adopted,female,18-24,0.23559868
39,Arizona,2014,Adopted,female,25-34,0.228488882
40,Arizona,2014,Adopted,female,35-44,0.176036254
41,Arizona,2014,Adopted,female,45-54,0.160138436
42,Arizona,2014,Adopted,female,55-64,0.147044698
43,Arkansas,2014,Adopted,male,< 6,0.583053955
44,Arkansas,2014,Adopted,male,6-17,0.482990477
45,Arkansas,2014,Adopted,male,18-24,0.149760533
46,Arkansas,2014,Adopted,male,25-34,0.119936181
47,Arkansas,2014,Adopted,male,35-44,0.110421787
48,Arkansas,2014,Adopted,male,45-54,0.117938526
49,Arkansas,2014,Adopted,male,55-64,0.127538082
50,Arkansas,2014,Adopted,female,< 6,0.584979593
51,Arkansas,2014,Adopted,female,6-17,0.483713082
52,Arkansas,2014,Adopted,female,18-24,0.211558039
53,Arkansas,2014,Adopted,female,25-34,0.20719456
54,Arkansas,2014,Adopted,female,35-44,0.176446331
55,Arkansas,2014,Adopted,female,45-54,0.160826679
56,Arkansas,2014,Adopted,female,55-64,0.162518909
57,California,2014,Adopted,male,< 6,0.451500368
58,California,2014,Adopted,male,6-17,0.403136714
59,California,2014,Adopted,male,18-24,0.186269395
60,California,2014,Adopted,male,25-34,0.132924283
61,California,2014,Adopted,male,35-44,0.127456561
62,California,2014,Adopted,male,45-54,0.136067473
63,California,2014,Adopted,male,55-64,0.154988003
64,California,2014,Adopted,female,< 6,0.45821834
65,California,2014,Adopted,female,6-17,0.406141207
66,California,2014,Adopted,female,18-24,0.235891484
67,California,2014,Adopted,female,25-34,0.205091161
68,California,2014,Adopted,female,35-44,0.175053644
69,California,2014,Adopted,female,45-54,0.160714252
70,California,2014,Adopted,female,55-64,0.179799037
71,Colorado,2014,Adopted,male,< 6,0.395759248
72,Colorado,2014,Adopted,male,6-17,0.325691556
73,Colorado,2014,Adopted,male,18-24,0.124083398
74,Colorado,2014,Adopted,male,25-34,0.120071565
75,Colorado,2014,Adopted,male,35-44,0.094830801
76,Colorado,2014,Adopted,male,45-54,0.093824269
77,Colorado,2014,Adopted,male,55-64,0.098639519
78,Colorado,2014,Adopted,female,< 6,0.399528038
