,state,year,expansion,gender,age,number,state_abbrev
8,Alabama,2014,Not Adopted,female,< 6,88759,AL
22,Alaska,2014,Adopted,female,< 6,11855,AK
36,Arizona,2014,Adopted,female,< 6,113390,AZ
50,Arkansas,2014,Adopted,female,< 6,64642,AR
64,California,2014,Adopted,female,< 6,672259,CA
78,Colorado,2014,Adopted,female,< 6,77711,CO
92,Connecticut,2014,Adopted,female,< 6,44469,CT
106,Delaware,2014,Adopted,female,< 6,12371,DE
120,District of Columbia,2014,Adopted,female,< 6,11978,DC
134,Florida,2014,Not Adopted,female,< 6,308439,FL
148,Georgia,2014,Not Adopted,female,< 6,182894,GA
162,Hawaii,2014,Adopted,female,< 6,18152,HI
176,Idaho,2014,Adopted,female,< 6,26990,ID
190,Illinois,2014,Adopted,female,< 6,212331,IL
204,Indiana,2014,Adopted,female,< 6,105088,IN
218,Iowa,2014,Adopted,female,< 6,43582,IA
232,Kansas,2014,Not Adopted,female,< 6,47384,KS
246,Kentucky,2014,Adopted,female,< 6,78951,KY
260,Louisiana,2014,Adopted,female,< 6,96104,LA
274,Maine,2014,Adopted,female,< 6,17799,ME
288,Maryland,2014,Adopted,female,< 6,82537,MD
302,Massachusetts,2014,Adopted,female,< 6,78642,MA
316,Michigan,2014,Adopted,female,< 6,151593,MI
330,Minnesota,2014,Adopted,female,< 6,63171,MN
344,Mississippi,2014,Not Adopted,female,< 6,62341,MS
358,Missouri,2014,Adopted,female,< 6,79297,MO
372,Montana,2014,Adopted,female,< 6,14983,MT
386,Nebraska,2014,Adopted,female,< 6,26537,NE
400,Nevada,2014,Adopted,female,< 6,42028,NV
414,New Hampshire,2014,Adopted,female,< 6,14005,NH
428,New Jersey,2014,Adopted,female,< 6,114949,NJ
442,New Mexico,2014,Adopted,female,< 6,47758,NM
456,New York,2014,Adopted,female,< 6,309161,NY
470,North Carolina,2014,Adopted,female,< 6,173367,NC
484,North Dakota,2014,Adopted,female,< 6,9667,ND
498,Ohio,2014,Adopted,female,< 6,175094,OH
512,Oklahoma,2014,Adopted,female,< 6,74349,OK
526,Oregon,2014,Adopted,female,< 6,69116,OR
540,Pennsylvania,2014,Adopted,female,< 6,163621,PA
554,Rhode Island,2014,Adopted,female,< 6,15408,RI
568,South Carolina,2014,Not Adopted,female,< 6,86671,SC
582,South Dakota,2014,Adopted,female,< 6,12604,SD
596,Tennessee,2014,Not Adopted,female,< 6,109999,TN
610,Texas,2014,Not Adopted,female,< 6,527201,TX
624,Utah,2014,Adopted,female,< 6,33382,UT
638,Vermont,2014,Adopted,female,< 6,8645,VT
652,Virginia,2014,Adopted,female,< 6,95770,VA
666,Washington,2014,Adopted,female,< 6,106524,WA
680,West Virginia,2014,Adopted,female,< 6,33759,WV
694,Wisconsin,2014,Not Adopted,female,< 6,79394,WI
708,Wyoming,2014,Not Adopted,female,< 6,7367,WY
722,Puerto Rico,2014,,female,< 6,72240,PR
10,Alabama,2014,Not Adopted,female,18 to 24,39259,AL
24,Alaska,2014,Adopted,female,18 to 24,5971,AK
38,Arizona,2014,Adopted,female,18 to 24,76583,AZ
52,Arkansas,2014,Adopted,female,18 to 24,30132,AR
66,California,2014,Adopted,female,18 to 24,453236,CA
80,Colorado,2014,Adopted,female,18 to 24,46327,CO
94,Connecticut,2014,Adopted,female,18 to 24,36164,CT
108,Delaware,2014,Adopted,female,18 to 24,9092,DE
122,District of Columbia,2014,Adopted,female,18 to 24,10493,DC
136,Florida,2014,Not Adopted,female,18 to 24,142492,FL
150,Georgia,2014,Not Adopted,female,18 to 24,66591,GA
164,Hawaii,2014,Adopted,female,18 to 24,9997,HI
178,Idaho,2014,Adopted,female,18 to 24,9558,ID
192,Illinois,2014,Adopted,female,18 to 24,130686,IL
206,Indiana,2014,Adopted,female,18 to 24,46649,IN
220,Iowa,2014,Adopted,female,18 to 24,26421,IA
234,Kansas,2014,Not Adopted,female,18 to 24,14030,KS
248,Kentucky,2014,Adopted,female,18 to 24,47751,KY
262,Louisiana,2014,Adopted,female,18 to 24,44281,LA
276,Maine,2014,Adopted,female,18 to 24,12377,ME
290,Maryland,2014,Adopted,female,18 to 24,57777,MD
304,Massachusetts,2014,Adopted,female,18 to 24,75723,MA
318,Michigan,2014,Adopted,female,18 to 24,108008,MI
332,Minnesota,2014,Adopted,female,18 to 24,45021,MN
346,Mississippi,2014,Not Adopted,female,18 to 24,31567,MS
360,Missouri,2014,Adopted,female,18 to 24,36598,MO
374,Montana,2014,Adopted,female,18 to 24,4941,MT
388,Nebraska,2014,Adopted,female,18 to 24,9843,NE
402,Nevada,2014,Adopted,female,18 to 24,18284,NV
416,New Hampshire,2014,Adopted,female,18 to 24,4860,NH
430,New Jersey,2014,Adopted,female,18 to 24,56681,NJ
444,New Mexico,2014,Adopted,female,18 to 24,28566,NM
458,New York,2014,Adopted,female,18 to 24,255154,NY
472,North Carolina,2014,Adopted,female,18 to 24,80906,NC
486,North Dakota,2014,Adopted,female,18 to 24,4834,ND
500,Ohio,2014,Adopted,female,18 to 24,115477,OH
514,Oklahoma,2014,Adopted,female,18 to 24,29929,OK
528,Oregon,2014,Adopted,female,18 to 24,43369,OR
542,Pennsylvania,2014,Adopted,female,18 to 24,103956,PA
556,Rhode Island,2014,Adopted,female,18 to 24,11466,RI
570,South Carolina,2014,Not Adopted,female,18 to 24,42544,SC
584,South Dakota,2014,Adopted,female,18 to 24,5097,SD
598,Tennessee,2014,Not Adopted,female,18 to 24,65077,TN
612,Texas,2014,Not Adopted,female,18 to 24,169770,TX
626,Utah,2014,Adopted,female,18 to 24,13640,UT
640,Vermont,2014,Adopted,female,18 to 24,7895,VT
654,Virginia,2014,Adopted,female,18 to 24,38149,VA
668,Washington,2014,Adopted,female,18 to 24,61011,WA
682,West Virginia,2014,Adopted,female,18 to 24,22587,WV
696,Wisconsin,2014,Not Adopted,female,18 to 24,43597,WI
710,Wyoming,2014,Not Adopted,female,18 to 24,3201,WY
724,Puerto Rico,2014,,female,18 to 24,100352,PR
11,Alabama,2014,Not Adopted,female,25 to 34,49575,AL
25,Alaska,2014,Adopted,female,25 to 34,7029,AK
39,Arizona,2014,Adopted,female,25 to 34,98303,AZ
53,Arkansas,2014,Adopted,female,25 to 34,38815,AR
67,California,2014,Adopted,female,25 to 34,569113,CA
81,Colorado,2014,Adopted,female,25 to 34,70925,CO
